calumet_product,competitor_product,pricecomp,pricecalu,datetime,retailer
Royal Purple Max-Clean FSC,Sea Foam 16 Ounce Motor Treatment,0,0,"04/19/2022, 11:32:24",Walmart
Royal Purple Max-Boost Octane Booster,104+ 16 Ounce Octane Boost,0,0,"04/19/2022, 11:32:24",Walmart
Royal Purple Max-Boost Octane Booster,Lucas Oil Products 15 Ounce Octane Boost,0,0,"04/19/2022, 11:32:24",Walmart
Royal Purple Max-Clean FSC,Sea Foam 16 Ounce Motor Treatment,0,0,"04/19/2022, 13:26:14",Walmart
Royal Purple Max-Boost Octane Booster,104+ 16 Ounce Octane Boost,0,0,"04/19/2022, 13:26:14",Walmart
Royal Purple Max-Boost Octane Booster,Lucas Oil Products 15 Ounce Octane Boost,0,0,"04/19/2022, 13:26:14",Walmart
Royal Purple Max-Clean FSC,Sea Foam 16 Ounce Motor Treatment,0,0,"04/19/2022, 13:29:25",Walmart
Royal Purple Max-Boost Octane Booster,104+ 16 Ounce Octane Boost,0,0,"04/19/2022, 13:29:25",Walmart
Royal Purple Max-Boost Octane Booster,Lucas Oil Products 15 Ounce Octane Boost,0,0,"04/19/2022, 13:29:25",Walmart
Royal Purple Max-Clean FSC,Sea Foam 16 Ounce Motor Treatment,0,0,"04/19/2022, 14:04:59",Walmart
Royal Purple Max-Boost Octane Booster,104+ 16 Ounce Octane Boost,0,0,"04/19/2022, 14:04:59",Walmart
Royal Purple Max-Boost Octane Booster,Lucas Oil Products 15 Ounce Octane Boost,0,0,"04/19/2022, 14:04:59",Walmart
Royal Purple Max-Clean FSC,Sea Foam 16 Ounce Motor Treatment,0,0,"04/19/2022, 15:25:16",Walmart
Royal Purple Max-Boost Octane Booster,104+ 16 Ounce Octane Boost,0,0,"04/19/2022, 15:25:16",Walmart
Royal Purple Max-Boost Octane Booster,Lucas Oil Products 15 Ounce Octane Boost,0,0,"04/19/2022, 15:25:16",Walmart
Royal Purple Max-Clean FSC,Sea Foam 16 Ounce Motor Treatment,0,0,"04/19/2022, 15:31:19",Walmart
Royal Purple Max-Boost Octane Booster,104+ 16 Ounce Octane Boost,0,0,"04/19/2022, 15:31:19",Walmart
Royal Purple Max-Boost Octane Booster,Lucas Oil Products 15 Ounce Octane Boost,0,0,"04/19/2022, 15:31:19",Walmart
Royal Purple Max-Clean FSC,Sea Foam 16 Ounce Motor Treatment,0,0,"04/21/2022, 13:58:27",Walmart
Royal Purple Max-Boost Octane Booster,104+ 16 Ounce Octane Boost,0,0,"04/21/2022, 13:58:27",Walmart
Royal Purple Max-Boost Octane Booster,Lucas Oil Products 15 Ounce Octane Boost,0,0,"04/21/2022, 13:58:27",Walmart
Royal Purple Max-Clean FSC,Sea Foam 16 Ounce Motor Treatment,0,0,"04/27/2022, 18:23:16",Walmart
Royal Purple Max-Boost Octane Booster,104+ 16 Ounce Octane Boost,0,0,"04/27/2022, 18:23:16",Walmart
Royal Purple Max-Boost Octane Booster,Lucas Oil Products 15 Ounce Octane Boost,0,0,"04/27/2022, 18:23:16",Walmart
Royal Purple Max-Clean FSC,Sea Foam 16 Ounce Motor Treatment,0,0,"04/27/2022, 18:32:57",Walmart
Royal Purple Max-Boost Octane Booster,104+ 16 Ounce Octane Boost,0,0,"04/27/2022, 18:32:57",Walmart
Royal Purple Max-Boost Octane Booster,Lucas Oil Products 15 Ounce Octane Boost,0,0,"04/27/2022, 18:32:57",Walmart
Royal Purple Max-Clean FSC,Sea Foam 16 Ounce Motor Treatment,0,0,"04/27/2022, 18:54:56",Walmart
Royal Purple Max-Boost Octane Booster,104+ 16 Ounce Octane Boost,0,0,"04/27/2022, 18:54:56",Walmart
Royal Purple Max-Boost Octane Booster,Lucas Oil Products 15 Ounce Octane Boost,0,0,"04/27/2022, 18:54:56",Walmart
Royal Purple Max-Clean FSC,Sea Foam 16 Ounce Motor Treatment,0,0,"04/27/2022, 19:11:15",Walmart
Royal Purple Max-Boost Octane Booster,104+ 16 Ounce Octane Boost,0,0,"04/27/2022, 19:11:15",Walmart
Royal Purple Max-Boost Octane Booster,Lucas Oil Products 15 Ounce Octane Boost,0,0,"04/27/2022, 19:11:15",Walmart
Royal Purple Max-Clean FSC,Sea Foam 16 Ounce Motor Treatment,0,0,"04/27/2022, 19:16:07",Walmart
Royal Purple Max-Boost Octane Booster,104+ 16 Ounce Octane Boost,0,0,"04/27/2022, 19:16:07",Walmart
Royal Purple Max-Boost Octane Booster,Lucas Oil Products 15 Ounce Octane Boost,0,0,"04/27/2022, 19:16:07",Walmart
Royal Purple Max-Clean FSC,Sea Foam 16 Ounce Motor Treatment,0,0,"05/23/2022, 18:38:04",Walmart
Royal Purple Max-Boost Octane Booster,104+ 16 Ounce Octane Boost,0,0,"05/23/2022, 18:38:04",Walmart
Royal Purple Max-Boost Octane Booster,Lucas Oil Products 15 Ounce Octane Boost,0,0,"05/23/2022, 18:38:04",Walmart
